n,name,enname,jpname,text,colorscheme,Moldbreaker,gen,对战外,对战中,Skillswap,Trace,Change,Noability,Entry,Transform,oldname
15,不眠,Insomnia,ふみん,因为有着睡不着的体质，所以不会陷入睡眠状态。,清晨,y,3,,"该特性的宝可梦不会陷入睡眠状态，睡觉招式会无效。陷入睡眠的宝可梦获得该特性时睡眠状态消除。
烦恼种子可以使宝可梦变成该特性。",,,,,,,
11,储水,Water Absorb,ちょすい,受到水属性的招式攻击时，不会受到伤害，而是会回复。,水,y,3,,"具有该特性的宝可梦不受水屬性招式的影响，当被水属性的招式击中时，回复最大ＨＰ的1⁄4。
该特性只能确保自己不受水属性招式的伤害，不能吸引水属性招式。
可以抵御水属性的变化招式。包括通过其他方式变为水属性的变化招式。
对于连续招式，只会触发1次特性效果。
触发该特性时，与没有效果相同，不会触发招式的附加效果。
该特性的宝可梦无法触发自身携带的球根或光苔。
该特性的宝可梦进入守住状态无法通过被水属性招式击中回复ＨＰ。",,,,,,,
17,免疫,Immunity,めんえき,因为体内拥有免疫能力，不会变为中毒状态。,毒,y,3,,该特性的宝可梦不会陷入中毒或剧毒状态。陷入中毒或剧毒的宝可梦获得该特性时中毒或剧毒状态消除。,,,,,,,
3,加速,Speed Boost,かそく,每一回合速度会变快。,速度,,3,,持有该特性的宝可梦每回合结束速度上升1级，但該回合交換出持有该特性的宝可梦則不會發動。,,,,,,,
46,压迫感,Pressure,プレッシャー,给予对手压迫感，大量减少其使用招式的ＰＰ。,飞行,,3,"当该特性的宝可梦配置在同行宝可梦首位时，遭遇某一种野生宝可梦时，它的等级有50%几率为当地可能出现的最高等级。
此特性还会增加闯入对战发生的几率。","使用招式以该特性的宝可梦或以全场为目标时，每有一只该特性的宝可梦，多损失1点ＰＰ。友方宝可梦使用招式时则不会触发该特性。
该特性不受破格、兆级电压和涡轮火焰特性影响。无论招式是否命中或有效，该效果都会生效。例如被守住或替身阻挡、幽灵属性宝可梦受到近身战的攻击等。
广域战力和龙箭攻击时，只计算选择位置宝可梦可能的压迫感，至多只会多损失1点ＰＰ。对手使用撒菱、毒菱、隐形岩、抢夺、封印时也会触发该特性。对手使用太晶爆发时，即使目标不是持有该特性的宝可梦，也同样会受到该特性影响。",yes,yes,yes,yes,yes,yes,
47,厚脂肪,Thick Fat,あついしぼう,因为被厚厚的脂肪保护着，会让火属性和冰属性的招式伤害减半。,变化,y,3,,拥有该特性的寶可夢受到冰屬性或火屬性招式攻击时，在伤害计算中对方的攻擊或特攻减半。,,,,,,,
35,发光,Illuminate,はっこう,通过让周围变亮，变得容易遇到野生的宝可梦。,清晨,,3,当该特性的宝可梦配置在同行宝可梦首位时，野生宝可梦出现机率为原来的2倍。,,,,,,,no,
16,变色,Color Change,へんしょく,自己的属性会变为从对手处所受招式的属性。,一般,,3,,"当被造成伤害的招式命中时，自身属性会变成这种招式的属性，但处于替身状态时属性不会改变。
连续招式全部攻击结束后变色特性再发动；
挣扎不会触发该特性；
被持有强行特性的宝可梦攻击时会该特性不会发动；
预知未来和破灭之愿可以触发该特性。当该特性的宝可梦拥有两种属性，被造成伤害的招式命中后，只会拥有一种属性。如果处于黑暗气场下的气象球命中后，该特性的宝可梦会变为一般屬性。
在改变属性后，属性改变前存在的异常状态和该属性若排斥，异常状态仍生效。（例如毒屬性和中毒）",,,,,,,
34,叶绿素,Chlorophyll,ようりょくそ,晴朗天气时，速度会提高。,草,,3,,处于大晴天或大日照天气时，该特性的宝可梦速度能力变为原来的2倍。,,,,,,,
28,同步,Synchronize,シンクロ,将自己的中毒、麻痹或灼伤状态传染给对手。,超能力,,3,"当该特性的宝可梦配置在同行宝可梦首位时：
遇到的随机出现和定点出现的野生宝可梦的性格有50%概率（第八世代以前）/100%（第八世代中）变成与队首宝可梦一样。
在游戏中获得的礼物宝可梦的性格100%与队首宝可梦一样。这个效果可以作用于玛机雅娜，但不影响在宝可梦中心中领取的活动赠送宝可梦。
在１６号道路以太基地合成的基格尔德的性格100%与队首宝可梦一样。","其他宝可梦对自身造成灼伤、中毒、剧毒、麻痹时，自身对那只宝可梦造成相同的异常状态。
若特性为同步的宝可梦同时携带可以治愈它异常状态的树果，那么触发树果效果前触发同步特性。
若处于异常状态的非同步特性宝可梦对特性为同步的宝可梦使用精神转移，同步特性会在异常状态被治愈之前触发，使得特性发动失败，前者的异常状态可以解除。
两只宝可梦连续因为同步而触发，但是字幕会显示同步失败。
以下情况不会触发同步特性：
若由于接触到毒菱而陷入中毒状态；
若由于携带到剧毒宝珠或火焰宝珠而陷入中毒或灼伤状态。",,,,,,,
21,吸盘,Suction Cups,きゅうばん,用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。,水中3E,y,3,"当该特性的宝可梦配置在同行宝可梦首位时，垂钓时宝可梦更容易上钩。
在《晶燦鑽石／明亮珍珠》中，该特性无此效果。","拥有该特性的宝可梦不受强制替换宝可梦的招式以及红牌的影响。
自身使用和后备宝可梦进行替换的招式或携带的逃脱按键不受该特性影响。",,,,,,,
69,坚硬脑袋,Rock Head,いしあたま,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,岩石,,3,,"不会受到自身招式的反作用力伤害。作用范围不包括（可能）按自身最大ＨＰ比例损伤自身的招式。
此特性不影响生命宝珠的副作用。
如果具有坚硬脑袋特性的宝可梦在使出这类招式后立即失去了此特性（例如使用闪焰冲锋攻击具有木乃伊特性的宝可梦），则仍然要受到反作用力伤害。",,,,,,,
36,复制,Trace,トレース,出场时，复制对手的特性，变为与之相同的特性。,超能力,,3,,"自身登场时，复制特性变为随机1只对方宝可梦的特性。如果复制到了登场时发动的特性，它会立即发动。自身离场时特性还原为复制。
当复制其他特性后，该特性的宝可梦再次变为复制特性（比如使用扮演），复制特性无法触发，直到下次替换出场时再次触发。
复制的目标处于无特性，能触发该特性。
如果对方场上没有可以复制的特性，则复制特性暂不发动，而是留待对方场上出现能够复制的特性时发动。",,no,,,yes,,
14,复眼,Compound Eyes,ふくがん,因为拥有复眼，招式的命中率会提高。,虫,,3,"《綠寶石》起，当该特性的宝可梦配置在队伍首位时，野生宝可梦携带物品的机率增加：
50%→60%、5%→20%、1%→5%。","自身招式的命中率乘以1.3。
该特性不影响一击必杀招式的命中率。",,,,,,,
37,大力士,Huge Power,ちからもち,物理攻击的威力会变为２倍。,强壮,,3,,使用非固定伤害类物理招式的伤害提升为原来的2倍。,,,,,,,
32,天恩,Serene Grace,てんのめぐみ,托天恩的福，招式的追加效果容易出现。,妖精,,3,,"使用招式时追加效果的出现率×2，超过100％则必然出现追加效果。
携带王者之证或锐利之牙的宝可梦触发道具效果的几率×2。
彩虹的效果可与天恩的效果重叠。即追加效果的出现几率×4。
在效果重叠后可能会出现数值溢出错误，导致追加效果的几率计算后大于255%时，会减去256%。这只会出现在充电光束上。",,,,,,,
22,威吓,Intimidate,いかく,出场时威吓对手，让其退缩，降低对手的攻击。,变化,,3,当该特性的宝可梦配置在同行宝可梦首位时，出现等级更低的野生宝可梦机率降为原来的50%。,"出场或获得此特性时所有攻击范围内的对手的攻击下降1级。
对处于飞翔、潜水、挖洞或暗影潜袭状态的宝可梦有效。
拥有恒净之躯、怪力钳、白色烟雾、金属防护、精神力、迟钝、胆量和我行我素特性的宝可梦不受影响。
处于替身状态的宝可梦不受影响。
增加闯入对战发生的几率。
在三打对战中，若该特性的宝可梦不是从中间出场，则只能威吓到与该宝可梦相同一侧和中间的宝可梦。
胆怯特性的宝可梦，在受到威吓后能够提升速度。
看门犬特性的宝可梦，威吓效果无效，并且攻击提高1级。",yes,yes,yes,yes,yes,yes,
27,孢子,Effect Spore,ほうし,受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。,草,,3,,"使用接触类招式攻击该特性的宝可梦时会有30%的机率陷入麻痹、中毒或睡眠状态。
