bag,name,sprite,sprite2,class2,occasion,once,bag2,throw,gen,game,rgby,gsc,rse,frlg,dppt,hgss,bwb2w2,xyoras,smusum,lple,swsh,bdsp,effect,xy,oras,spritesize,sprite3,class3,img,size,la,lp,swshe,section,section1,球果盒,held,bw,b2w2,lg,rgb,p,pt,d,bd,sp,class,m,usum,w,w2,b,b2,ru,ss,sa,hg,e,tcg,sm,5b,sprite4,class4,bwb2y2,snum,basis,pluck,bugbite,type,power,color,bnum,sprite5,class5,jpname,enname,section2,class6,sprite6,sprite7,class7,c,or,rs,dp,as,s,us,um,class1
道具,除虫喷雾,Bag 除虫喷雾 Sprite.png,Dream 除虫喷雾 Sprite.png30px,神奥,out,y,道具,30,1,{{道具信息框/game,y,y,y,y,y,y,y,y,y,y,y,y,"使用后在100步之内不会遇见比同行宝可梦中第一只宝可梦等级低的野生宝可梦。
不过在《劍／盾》，只有隐藏的宝可梦会消失，会遇到可见的宝可梦。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,白银喷雾,Bag 白银喷雾 Sprite.png,Dream 白银喷雾 Sprite.png30px,神奥,out,y,道具,30,,{{道具信息框/game,y,y,y,y,y,y,y,y,y,y,y,y,使用后在200步之内不会遇见比同行宝可梦中第一只宝可梦等级低的野生宝可梦。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,黄金喷雾,Bag 黄金喷雾 Sprite.png,Dream 黄金喷雾 Sprite.png30px,神奥,out,y,道具,30,,{{道具信息框/game,y,y,y,y,y,y,y,y,y,y,y,y,使用后在250步之内不会遇见比同行宝可梦中第一只宝可梦等级低的野生宝可梦。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,,,,,,,,,{{道具信息框/game,,y,,,,,,,,,,,装着银奖杯。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,,,,,,,,,{{道具信息框/game,,y,,,,,,,,,,,装着金奖杯。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回复,,Dream 蓝色玻璃哨 Sprite.png30px,Bag 蓝色玻璃哨 Sprite.png,丰缘,both,,道具、战斗道具、回复,,,{{道具信息框/game,,,y,y,y,y,y,,,,,,"解除己方1只宝可梦的睡眠状态。RSEFRLGDPPtHGSSΩRαSSMUSUMLPLE
涟漪镇的布尔乔瓦家族会出高价收购。BWB2W2
该道具在合众地区和卡洛斯地区只能出售，不能使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回复,,Dream 黄色玻璃哨 Sprite.png30px,Bag 黄色玻璃哨 Sprite.png,丰缘,in,,道具、战斗道具、回复,,,{{道具信息框/game,,,y,y,y,y,y,,,,,,"解除己方1只宝可梦的混乱状态。RSEFRLGDPPtHGSSΩRαSSMUSUM
涟漪镇的布尔乔瓦家族会出高价收购。BWB2W2
该道具在合众地区和卡洛斯地区只能出售，不能使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回复,,Dream 红色玻璃哨 Sprite.png30px,Bag 红色玻璃哨 Sprite.png,丰缘,in,,道具、战斗道具、回复,,,{{道具信息框/game,,,y,y,y,y,y,,,,,,"解除己方1只宝可梦的着迷状态。RSEFRLGDPPtHGSSΩRαSSMUSUM
涟漪镇的布尔乔瓦家族会出高价收购。BWB2W2
该道具在合众地区和卡洛斯地区只能出售，不能使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 黑色玻璃哨 Sprite.png30px,Bag 黑色玻璃哨 Sprite.png,丰缘,out,,,,,{{道具信息框/game,,,y,y,y,y,y,,,,,,"增加遇到高等级野生宝可梦的几率。ΩRαSSMUSUM
减少遇到野生宝可梦的几率。RSEFRLGDPPtHGSS
涟漪镇的布尔乔瓦家族会出高价收购。BWB2W2
该道具在合众地区和卡洛斯地区只能出售，不能使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Dream 白色玻璃哨 Sprite.png30px,Bag 白色玻璃哨 Sprite.png,丰缘,out,,,,,{{道具信息框/game,,,y,y,y,y,y,,,,,,"增加遇到低等级野生宝可梦的几率。ΩRαSSMUSUM
增加遇到野生宝可梦的几率至1.5倍。RSEFRLGDPPtHGSS
涟漪镇的布尔乔瓦家族会出高价收购。BWB2W2
该道具在合众地区和卡洛斯地区只能出售，不能使用。",y,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 速速肥 Sprite.png,,,no,,,,,{{道具信息框/game,,,,,y,y,y,,,,,,"树果生长时间减少25%，土地干燥时间减少50%。DPPtHGSS
吹寄市的肥料培育家高价收购。B2W2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道具,,Bag 湿湿肥 Sprite.png,,,no,,,,,{{道具信息框/game,,,,,y,y,y,,,,,,"树果生长时间增加50%，土地干燥时间增加100%。DPPtHGSS
吹寄市的肥料培育家高价收购。B2W2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
