name,jname,enname,species,typen,type1,type2,ability1,abilityd,ndex,kdex,oldjdex,jdex,kdexs,gdexa,fbrow,obrow,opbrow,height,weight,egggroupn,egggroup1,egggroup2,expyield,expyieldgen5,gendercode,eggcycles,lv100exp,color,catchrate,body,evhp,evat,evde,evsa,evsd,evsp,footnotes,imagecode,imagecode2,imagecode3,ability1-2,abilityd3,form1,form2,form3,height2,height3,weight2,weight3,expyield2,expyieldgen5-2,abrow,gdex,imagecode4,tcg2,type2-2,ability1-3,abilityd4,form4,height4,weight4,expyield3,expyieldgen5-3,color2,adex,adexm,adexa,adex2,adexm2,adexa2,abilityn,abilityn2,abilityd2,ability2,type1-2,ability2-2,idex2,adexu,adexp,adexu2,adexp2,kdexm,hdex,oldhdex,sdex,egggroupn2,egggroup1-2,egggroupn3,egggroup1-3,gendercode2,gendercode3,kdexk,gdexc,evhp2,evat2,evde2,evsa2,evsd2,evsp2,type1-3,abilityn3,abilityn4,ability2-3,ability1-4,ability2-4,color3,body3,evhp3,evat3,evde3,evsa3,evsd3,evsp3,species2,heightn,tcg,type2-3,body2,weightn,catchrate2,formcolor2,formcolor3,forme,sprite,image,type1-4,color4,evhp4,evat4,evde4,evsa4,evsd4,evsp4,formcolor1,tcg3,imagecode5,imagecode6,type2-4,type2-5,type2-6,form5,form6,expyieldgen5-4,expyieldgen5-5,expyieldgen5-6,footprintform2,art,idex,species3,species4,expyield4,catchrate3,catchrate4,caption,abilityd5,abilityd6,width,display,type0,type0-2,ability1-5,height5,weight5,expyield5,color5,body4,body5,type2-1,ability3-3,ndex2,color6
妙蛙种子,フシギダネ,Bulbasaur,种子,2,草,毒,茂盛,叶绿素,001,001,226,231,080,068,001,014,004,0.7,6.9,2,怪兽,植物,64,64,31,20,"1,059,860",绿,45,08,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妙蛙草,フシギソウ,Ivysaur,种子,2,草,毒,茂盛,叶绿素,002,002,227,232,081,069,002,015,005,1.0,13.0,2,怪兽,植物,141,142,31,20,"1,059,860",绿,45,08,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妙蛙花,フシギバナ,Venusaur,种子,,草,毒,茂盛,叶绿素,003,003,228,233,082,070,003,016,006,2.0,100.0,2,怪兽,植物,208,236,31,20,"1,059,860",绿,45,08,0,0,0,2,1,0,,File:003Venusaur.png,File:003Venusaur-Mega.png,File:003Venusaur-Gigantamax.png,厚脂肪,叶绿素,妙蛙花,超级妙蛙花,超极巨化的样子,2.4,24.0~??.?,155.5,???.?,-;,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小火龙,ヒトカゲ,Charmander,蜥蜴,,火,,猛火,太阳之力,004,004,229,234,083,,140,206,062,0.6,8.5,2,怪兽,龙,65,62,31,20,"1,059,860",红,45,06,0,0,0,0,0,1,,,,,,,,,,,,,,,,137,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火恐龙,リザード,Charmeleon,火焰,,火,,猛火,太阳之力,005,005,230,235,084,,141,207,063,1.1,19.0,2,怪兽,龙,142,142,31,20,"1,059,860",红,45,06,0,0,0,1,0,1,,,,,,,,,,,,,,,,138,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喷火龙,リザードン,Charizard,火焰,,火,飞行,猛火,太阳之力,006,006,231,236,085,,142,208,,1.7,90.5,2,怪兽,龙,209,240,31,20,"1,059,860",红,45,06,0,0,0,3,0,0,,File:006Charizard.png,File:006Charizard-Mega X.png,File:006Charizard-Mega Y.png,硬爪,,喷火龙,超级喷火龙Ｘ,超级喷火龙Ｙ,1.7,1.7,110.5,100.5,-;,285,139,380,File:006Charizard-Gigantamax.png,龙,龙,日照,太阳之力,超极巨化的样子,28.0~??.?,???.?,-;,285,黑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杰尼龟,ゼニガメ,Squirtle,小龟,,水,,激流,雨盘,007,007,232,237,086,071,076,,,0.5,9.0,2,怪兽,水中1,66,63,31,20,"1,059,860",蓝,45,06,0,0,1,0,0,0,,,,,,,,,,,,,,,,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卡咪龟,カメール,Wartortle,龟,,水,,激流,雨盘,008,008,233,238,087,072,077,,,1.0,22.5,2,怪兽,水中1,143,142,31,20,"1,059,860",蓝,45,06,0,0,1,0,1,0,,,,,,,,,,,,,,,,012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水箭龟,カメックス,Blastoise,甲壳,,水,,激流,雨盘,009,009,234,239,088,073,078,294,214,1.6,85.5 ,2,怪兽,水中1,210,239,31,20,"1,059,860",蓝,45,06,0,0,0,0,3,0,,File:009Blastoise.png,File:009Blastoise-Mega.png,File:009Blastoise-Gigantamax.png,超级发射器,雨盘,水箭龟,超级水箭龟,超极巨化的样子,,25.0~??.?,101.1,???.?,-;,284,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绿毛虫,キャタピー,Caterpie,虫宝宝,,虫,,鳞粉,逃跑,010,010,024,024,023,,,,,0.3,2.9,1,虫,,53,39,127,15,"1,000,000",绿,255,14,1,0,0,0,0,0,,,,,,,,,,,,,,,,,013,,,,,,,,,,,,017,017,008,017,017,008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
