id,gen,name,hp,atk,def,sp,spd,sum,avg,sp.atk,sp.def
001,第一世代,妙蛙种子,45,49,49,65,45,253,50.6,,
002,第一世代,妙蛙草,60,62,63,80,60,325,65,,
003,第一世代,妙蛙花,80,82,83,100,80,425,85,,
004,第一世代,小火龙,39,52,43,50,65,249,49.8,,
005,第一世代,火恐龙,58,64,58,65,80,325,65,,
006,第一世代,喷火龙,78,84,78,85,100,425,85,,
007,第一世代,杰尼龟,44,48,65,50,43,250,50,,
008,第一世代,卡咪龟,59,63,80,65,58,325,65,,
009,第一世代,水箭龟,79,83,100,85,78,425,85,,
010,第一世代,绿毛虫,45,30,35,20,45,175,35,,
011,第一世代,铁甲蛹,50,20,55,25,30,180,36,,
012,第一世代,巴大蝶,60,45,50,80,70,305,61,,
013,第一世代,独角虫,40,35,30,20,50,175,35,,
014,第一世代,铁壳蛹,45,25,50,25,35,180,36,,
015,第一世代,大针蜂,65,80,40,45,75,305,61,,
016,第一世代,波波,40,45,40,35,56,216,43.2,,
017,第一世代,比比鸟,63,60,55,50,71,299,59.8,,
018,第一世代,大比鸟,83,80,75,70,91,399,79.8,,
019,第一世代,小拉达,30,56,35,25,72,218,43.6,,
020,第一世代,拉达,55,81,60,50,97,343,68.6,,
021,第一世代,烈雀,40,60,30,31,70,231,46.2,,
022,第一世代,大嘴雀,65,90,65,61,100,381,76.2,,
023,第一世代,阿柏蛇,35,60,44,40,55,234,46.8,,
024,第一世代,阿柏怪,60,85,69,65,80,359,71.8,,
025,第一世代,皮卡丘,35,55,30,50,90,260,52,,
026,第一世代,雷丘,60,90,55,90,100,395,79,,
027,第一世代,穿山鼠,50,75,85,30,40,280,56,,
028,第一世代,穿山王,75,100,110,55,65,405,81,,
029,第一世代,尼多兰,55,47,52,40,41,235,47,,
030,第一世代,尼多娜,70,62,67,55,56,310,62,,
031,第一世代,尼多后,90,82,87,75,76,410,82,,
032,第一世代,尼多朗,46,57,40,40,50,233,46.6,,
033,第一世代,尼多力诺,61,72,57,55,65,310,62,,
034,第一世代,尼多王,81,92,77,75,85,410,82,,
035,第一世代,皮皮,70,45,48,60,35,258,51.6,,
036,第一世代,皮可西,95,70,73,85,60,383,76.6,,
037,第一世代,六尾,38,41,40,65,65,249,49.8,,
038,第一世代,九尾,73,76,75,100,100,424,84.8,,
039,第一世代,胖丁,115,45,20,25,20,225,45,,
040,第一世代,胖可丁,140,70,45,50,45,350,70,,
041,第一世代,超音蝠,40,45,35,40,55,215,43,,
042,第一世代,大嘴蝠,75,80,70,75,90,390,78,,
043,第一世代,走路草,45,50,55,75,30,255,51,,
044,第一世代,臭臭花,60,65,70,85,40,320,64,,
045,第一世代,霸王花,75,80,85,100,50,390,78,,
046,第一世代,派拉斯,35,70,55,55,25,240,48,,
047,第一世代,派拉斯特,60,95,80,80,30,345,69,,
048,第一世代,毛球,60,55,50,40,45,250,50,,
049,第一世代,摩鲁蛾,70,65,60,90,90,375,75,,
050,第一世代,地鼠,10,55,25,45,95,230,46,,
051,第一世代,三地鼠,35,80,50,70,120,355,71,,
052,第一世代,喵喵,40,45,35,40,90,250,50,,
053,第一世代,猫老大,65,70,60,65,115,375,75,,
054,第一世代,可达鸭,50,52,48,50,55,255,51,,
055,第一世代,哥达鸭,80,82,78,80,85,405,81,,
056,第一世代,猴怪,40,80,35,35,70,260,52,,
057,第一世代,火爆猴,65,105,60,60,95,385,77,,
058,第一世代,卡蒂狗,55,70,45,50,60,280,56,,
059,第一世代,风速狗,90,110,80,80,95,455,91,,
060,第一世代,蚊香蝌蚪,40,50,40,40,90,260,52,,
061,第一世代,蚊香君,65,65,65,50,90,335,67,,
062,第一世代,蚊香泳士,90,85,95,70,70,410,82,,
063,第一世代,凯西,25,20,15,105,90,255,51,,
064,第一世代,勇基拉,40,35,30,120,105,330,66,,
065,第一世代,胡地,55,50,45,135,120,405,81,,
066,第一世代,腕力,70,80,50,35,35,270,54,,
067,第一世代,豪力,80,100,70,50,45,345,69,,
068,第一世代,怪力,90,130,80,65,55,420,84,,
069,第一世代,喇叭芽,50,75,35,70,40,270,54,,
070,第一世代,口呆花,65,90,50,85,55,345,69,,
071,第一世代,大食花,80,105,65,100,70,420,84,,
072,第一世代,玛瑙水母,40,40,35,100,70,285,57,,
073,第一世代,毒刺水母,80,70,65,120,100,435,87,,
074,第一世代,小拳石,40,80,100,30,20,270,54,,
075,第一世代,隆隆石,55,95,115,45,35,345,69,,
076,第一世代,隆隆岩,80,110,130,55,45,420,84,,
077,第一世代,小火马,50,85,55,65,90,345,69,,
078,第一世代,烈焰马,65,100,70,80,105,420,84,,
079,第一世代,呆呆兽,90,65,65,40,15,275,55,,
080,第一世代,呆壳兽,95,75,110,80,30,390,78,,
081,第一世代,小磁怪,25,35,70,95,45,270,54,,
082,第一世代,三合一磁怪,50,60,95,120,70,395,79,,
083,第一世代,大葱鸭,52,65,55,58,60,290,58,,
084,第一世代,嘟嘟,35,85,45,35,75,275,55,,
085,第一世代,嘟嘟利,60,110,70,60,100,400,80,,
086,第一世代,小海狮,65,45,55,70,45,280,56,,
087,第一世代,白海狮,90,70,80,95,70,405,81,,
088,第一世代,臭泥,80,80,50,40,25,275,55,,
089,第一世代,臭臭泥,105,105,75,65,50,400,80,,
090,第一世代,大舌贝,30,65,100,45,40,280,56,,
091,第一世代,刺甲贝,50,95,180,85,70,480,96,,
092,第一世代,鬼斯,30,35,30,100,80,275,55,,
093,第一世代,鬼斯通,45,50,45,115,95,350,70,,
094,第一世代,耿鬼,60,65,60,130,110,425,85,,
095,第一世代,大岩蛇,35,45,160,30,70,340,68,,
096,第一世代,催眠貘,60,48,45,90,42,285,57,,
097,第一世代,引梦貘人,85,73,70,115,67,410,82,,
098,第一世代,大钳蟹,30,105,90,25,50,300,60,,
099,第一世代,巨钳蟹,55,130,115,50,75,425,85,,
100,第一世代,霹雳电球,40,30,50,55,100,275,55,,
101,第一世代,顽皮雷弹,60,50,70,80,140,400,80,,
102,第一世代,蛋蛋,60,40,80,60,40,280,56,,
103,第一世代,椰蛋树,95,95,85,125,55,455,91,,
104,第一世代,卡拉卡拉,50,50,95,40,35,270,54,,
105,第一世代,嘎啦嘎啦,60,80,110,50,45,345,69,,
106,第一世代,飞腿郎,50,120,53,35,87,345,69,,
107,第一世代,快拳郎,50,105,79,35,76,345,69,,
108,第一世代,大舌头,90,55,75,60,30,310,62,,
109,第一世代,瓦斯弹,40,65,95,60,35,295,59,,
110,第一世代,双弹瓦斯,65,90,120,85,60,420,84,,
111,第一世代,独角犀牛,80,85,95,30,25,315,63,,
112,第一世代,钻角犀兽,105,130,120,45,40,440,88,,
113,第一世代,吉利蛋,250,5,5,105,50,415,83,,
114,第一世代,蔓藤怪,65,55,115,100,60,395,79,,
115,第一世代,袋兽,105,95,80,40,90,410,82,,
116,第一世代,墨海马,30,40,70,70,60,270,54,,
117,第一世代,海刺龙,55,65,95,95,85,395,79,,
118,第一世代,角金鱼,45,67,60,50,63,285,57,,
119,第一世代,金鱼王,80,92,65,80,68,385,77,,
120,第一世代,海星星,30,45,55,70,85,285,57,,
121,第一世代,宝石海星,60,75,85,100,115,435,87,,
122,第一世代,魔墙人偶,40,45,65,100,90,340,68,,
123,第一世代,飞天螳螂,70,110,80,55,105,420,84,,
124,第一世代,迷唇姐,65,50,35,95,95,340,68,,
125,第一世代,电击兽,65,83,57,85,105,395,79,,
126,第一世代,鸭嘴火兽,65,95,57,85,93,395,79,,
127,第一世代,凯罗斯,65,125,100,55,85,430,86,,
128,第一世代,肯泰罗,75,100,95,70,110,450,90,,
129,第一世代,鲤鱼王,20,10,55,20,80,185,37,,
130,第一世代,暴鲤龙,95,125,79,100,81,480,96,,
131,第一世代,拉普拉斯,130,85,80,95,60,450,90,,
132,第一世代,百变怪,48,48,48,48,48,240,48,,
133,第一世代,伊布,55,55,50,65,55,280,56,,
134,第一世代,水伊布,130,65,60,110,65,430,86,,
135,第一世代,雷伊布,65,65,60,110,130,430,86,,
136,第一世代,火伊布,65,130,60,110,65,430,86,,
137,第一世代,多边兽,65,60,70,75,40,310,62,,
138,第一世代,菊石兽,35,40,100,90,35,300,60,,
